epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,504.882,0.63981,0.45611,0.89801,0.98461,0.98598,0.99364,0.88753,0.61505,0.37289,0.86421,0.000273655,0.000273655,0.000273655
137,508.695,0.60671,0.46352,0.8709,0.98514,0.98939,0.99366,0.90253,0.59088,0.37351,0.86294,0.000271327,0.000271327,0.000271327
138,512.661,0.58498,0.41463,0.86493,0.98595,0.99622,0.99375,0.90381,0.53913,0.35494,0.84585,0.000268998,0.000268998,0.000268998
139,516.417,0.57215,0.40328,0.83122,0.98235,0.9965,0.99421,0.89978,0.56141,0.38135,0.849,0.00026667,0.00026667,0.00026667
140,520.222,0.58125,0.39909,0.86023,0.97691,0.99652,0.99432,0.87852,0.56369,0.37373,0.84937,0.000264341,0.000264341,0.000264341
141,523.884,0.63628,0.41416,0.84987,0.97632,0.99653,0.99378,0.89032,0.54414,0.36161,0.84296,0.000262013,0.000262013,0.000262013
142,527.571,0.6419,0.40926,0.84674,0.98101,0.99534,0.99392,0.88654,0.54813,0.36549,0.84643,0.000259684,0.000259684,0.000259684
143,531.267,0.56229,0.4018,0.84854,0.98179,0.99216,0.99405,0.87987,0.60202,0.38587,0.86986,0.000257356,0.000257356,0.000257356
144,535.132,0.60523,0.41096,0.88567,0.98643,0.99321,0.99404,0.8875,0.5099,0.36667,0.83571,0.000255027,0.000255027,0.000255027
145,539.062,0.59243,0.38521,0.86018,0.97797,0.99538,0.99407,0.8917,0.49378,0.36631,0.82646,0.000252699,0.000252699,0.000252699
146,542.799,0.6061,0.42525,0.86125,0.97826,0.99598,0.99407,0.86568,0.55585,0.38236,0.84038,0.00025037,0.00025037,0.00025037
147,546.532,0.60358,0.43097,0.85892,0.97668,0.99182,0.99407,0.86353,0.59451,0.39614,0.84938,0.000248042,0.000248042,0.000248042
148,550.259,0.57279,0.37826,0.83953,0.97145,0.986,0.99401,0.89839,0.4919,0.36061,0.82013,0.000245713,0.000245713,0.000245713
149,554.079,0.58077,0.40818,0.87728,0.96732,0.98411,0.99398,0.8812,0.51592,0.35462,0.82665,0.000243385,0.000243385,0.000243385
150,557.757,0.60584,0.38228,0.85547,0.97836,0.99515,0.99358,0.89901,0.52723,0.34848,0.82977,0.000241056,0.000241056,0.000241056
151,561.381,0.59282,0.39521,0.86879,0.98149,0.99485,0.99309,0.91842,0.49566,0.33729,0.82589,0.000238728,0.000238728,0.000238728
152,565.13,0.60988,0.40916,0.86736,0.98122,0.99586,0.99398,0.91094,0.49981,0.32614,0.82337,0.0002364,0.0002364,0.0002364
153,568.741,0.57404,0.39233,0.84023,0.98388,0.99626,0.99386,0.90556,0.49571,0.32452,0.82185,0.000234071,0.000234071,0.000234071
154,572.458,0.5651,0.39325,0.85671,0.98364,0.9901,0.99379,0.89976,0.50691,0.33071,0.82791,0.000231743,0.000231743,0.000231743
155,576.375,0.56502,0.37847,0.85248,0.97941,0.99483,0.9938,0.89988,0.51261,0.3279,0.83238,0.000229414,0.000229414,0.000229414
156,579.981,0.45406,0.37344,0.74463,0.98121,0.99513,0.99398,0.90121,0.53149,0.33792,0.83965,0.000227086,0.000227086,0.000227086
157,583.487,0.58313,0.38953,0.8618,0.984,0.9948,0.99402,0.90546,0.50302,0.3368,0.83199,0.000224757,0.000224757,0.000224757
158,586.94,0.55801,0.39031,0.85185,0.98537,0.99503,0.99397,0.91127,0.45189,0.33432,0.82322,0.000222429,0.000222429,0.000222429
159,590.403,0.5688,0.40119,0.87262,0.98434,0.99591,0.99402,0.8946,0.47898,0.34693,0.82678,0.0002201,0.0002201,0.0002201
160,593.866,0.51784,0.39266,0.86894,0.98441,0.99641,0.99403,0.87737,0.5805,0.37263,0.84726,0.000217772,0.000217772,0.000217772
161,597.341,0.58916,0.4319,0.85438,0.98357,0.99643,0.99405,0.89757,0.47664,0.35275,0.82121,0.000215443,0.000215443,0.000215443
162,600.762,0.53278,0.35536,0.85782,0.98154,0.99643,0.99404,0.91267,0.43737,0.33169,0.81211,0.000213115,0.000213115,0.000213115
163,604.192,0.53163,0.35403,0.84401,0.98091,0.99673,0.99405,0.87923,0.50893,0.34376,0.82445,0.000210786,0.000210786,0.000210786
164,607.679,0.53924,0.38446,0.85892,0.98472,0.99616,0.99404,0.90394,0.46965,0.33094,0.81881,0.000208458,0.000208458,0.000208458
165,611.274,0.52994,0.35873,0.80796,0.98601,0.99138,0.99403,0.92168,0.43785,0.32247,0.81288,0.000206129,0.000206129,0.000206129
166,615.254,0.53635,0.37014,0.83589,0.98268,0.99,0.99404,0.90239,0.49157,0.33837,0.8227,0.000203801,0.000203801,0.000203801
167,619.171,0.52651,0.36281,0.85227,0.97956,0.9916,0.99402,0.87346,0.53473,0.34489,0.83311,0.000201472,0.000201472,0.000201472
168,623.189,0.51114,0.35932,0.83955,0.98372,0.99283,0.99407,0.9069,0.42457,0.32194,0.81566,0.000199144,0.000199144,0.000199144
169,627.049,0.5164,0.36734,0.86337,0.98335,0.99578,0.99405,0.90409,0.45325,0.34162,0.82148,0.000196815,0.000196815,0.000196815
170,631.046,0.83768,0.50918,1.01491,0.98233,0.99162,0.99405,0.89165,0.54294,0.36166,0.83988,0.000194487,0.000194487,0.000194487
171,634.999,0.55672,0.37335,0.86094,0.98072,0.99093,0.99405,0.90803,0.50079,0.34545,0.83098,0.000192158,0.000192158,0.000192158
172,639.097,0.8398,0.49821,1.08822,0.97694,0.99445,0.99407,0.92998,0.42315,0.30972,0.81344,0.00018983,0.00018983,0.00018983
173,642.984,0.45013,0.34062,0.84294,0.97451,0.99718,0.99407,0.9192,0.46909,0.31968,0.82275,0.000187501,0.000187501,0.000187501
174,646.828,0.47595,0.34119,0.83402,0.97507,0.9971,0.99406,0.9193,0.49787,0.32463,0.82797,0.000185173,0.000185173,0.000185173
175,650.705,0.48607,0.36799,0.84537,0.97413,0.99725,0.99406,0.93381,0.44918,0.31258,0.8174,0.000182844,0.000182844,0.000182844
176,654.831,0.48516,0.33949,0.83534,0.97224,0.9971,0.99397,0.93125,0.48465,0.3209,0.82544,0.000180516,0.000180516,0.000180516
177,658.912,0.53529,0.35588,0.8621,0.97732,0.9971,0.99398,0.91239,0.54929,0.33495,0.83838,0.000178188,0.000178188,0.000178188
178,662.753,0.49853,0.35213,0.82399,0.98332,0.99652,0.99402,0.92661,0.47794,0.31792,0.82405,0.000175859,0.000175859,0.000175859
179,666.596,0.5343,0.35528,0.82925,0.98259,0.99324,0.99404,0.9365,0.41111,0.29768,0.80909,0.000173531,0.000173531,0.000173531
